YEAR,row_count,total_ma_benes,avg_age,avg_er_visits_per_1000,avg_op_visits_per_1000
2016,54,36367170.0,72.46296296296296,330.7587833333334,3451.497053703704
2017,54,39148085.0,72.64814814814815,346.70767037037035,3644.1449555555555
2018,54,42121852.0,72.64814814814815,349.9286203703704,3884.632311111112
2019,54,45279043.0,72.55555555555556,363.29274444444445,4177.388277777777
2020,54,49857057.0,72.48148148148148,303.8269814814814,3656.0185407407403
2021,54,54723449.0,72.35185185185185,326.27969999999993,4215.328753703705
2022,54,59354311.0,72.31481481481481,340.8950518518519,4342.256331481482
