YEAR,STATE,BENE_GEO_CD,BENES_MA_CNT,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_DUAL_PCT,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,BENES_ER_VISITS_CNT,BENES_ER_VISITS_PCT,ER_VISITS_PER_1000_BENES
2016,UT,49.0,123277,72,0.5499,0.4501,0.1173,82460,0.6689,3358.9477,29942,0.2429,242.8839
2016,VA,51.0,248139,71,0.5637,0.4363,0.1959,148159,0.5971,2948.4644,99973,0.4029,402.8911
2016,VI,78.0,194,71,0.5567,0.4433,,88,0.4536,1979.3814,66,0.3402,340.2062
2016,VT,50.0,10281,73,0.5386,0.4614,0.0979,8514,0.8281,5153.9733,2746,0.2671,267.0946
2016,WA,53.0,367767,72,0.5634,0.4366,0.139,194738,0.5295,2799.4219,101752,0.2767,276.6752
2016,WI,55.0,421501,74,0.5561,0.4439,0.1012,268221,0.6363,4229.5866,117684,0.2792,279.2022
2016,WV,54.0,111831,73,0.5509,0.4491,0.0881,84152,0.7525,5419.3918,41780,0.3736,373.5994
2016,WY,56.0,3241,73,0.5159,0.4841,0.1108,1778,0.5486,2769.207,923,0.2848,284.7886
2017,AK,2.0,1187,74,0.492,0.508,0.0986,662,0.5577,2731.2553,435,0.3665,366.4701
2017,AL,1.0,366431,70,0.5713,0.4287,0.2219,241700,0.6596,2885.0807,136783,0.3733,373.2845
2017,AR,5.0,132027,69,0.5562,0.4438,0.2897,89598,0.6786,3621.4032,58074,0.4399,439.8646
2017,AZ,4.0,470252,72,0.5644,0.4356,0.2737,224014,0.4764,2049.6691,159328,0.3388,338.8141
2017,CA,6.0,2465038,74,0.5634,0.4366,0.1941,1192801,0.4839,1934.7519,735715,0.2985,298.4599
2017,CO,8.0,316072,73,0.5613,0.4387,0.1287,144966,0.4586,2032.3692,93421,0.2956,295.5687
2017,CT,9.0,182616,74,0.5695,0.4305,0.3617,123035,0.6737,3888.1204,74402,0.4074,407.4232
2017,DC,11.0,13314,73,0.6172,0.3828,0.4843,5154,0.3871,2487.2315,5515,0.4142,414.2256
2017,DE,10.0,21544,72,0.5588,0.4412,0.195,13922,0.6462,3578.8619,9178,0.426,426.0119
2017,FL,12.0,1801714,72,0.5534,0.4466,0.2476,759958,0.4218,1622.8819,627880,0.3485,348.4904
2017,GA,13.0,565659,71,0.5862,0.4138,0.234,368033,0.6506,3097.6366,232917,0.4118,411.7622
2017,HI,15.0,116165,75,0.5716,0.4284,0.2249,78199,0.6732,3512.1594,37349,0.3215,321.5168
2017,IA,19.0,108346,74,0.5476,0.4524,0.1116,67249,0.6207,4016.7888,31254,0.2885,288.4647
2017,ID,16.0,95891,73,0.5513,0.4487,0.1157,76621,0.799,6485.2384,25495,0.2659,265.8748
2017,IL,17.0,504016,73,0.5695,0.4305,0.162,347622,0.6897,4319.8966,190701,0.3784,378.363
2017,IN,18.0,319322,73,0.5553,0.4447,0.1221,240242,0.7524,4687.206,114034,0.3571,357.1129
2017,KS,20.0,79189,73,0.5571,0.4429,0.1223,47196,0.596,3404.4249,28374,0.3583,358.3073
2017,KY,21.0,254924,71,0.5633,0.4367,0.1072,183017,0.7179,4105.8394,92597,0.3632,363.2337
2017,LA,22.0,273299,72,0.556,0.444,0.2455,205334,0.7513,4627.591,118865,0.4349,434.9266
2017,MA,25.0,281594,74,0.581,0.419,0.2595,215212,0.7643,6050.2141,124007,0.4404,440.3752
2017,MD,24.0,107593,73,0.5866,0.4134,0.1646,33630,0.3126,1712.6579,32307,0.3003,300.2705
2017,ME,23.0,90546,72,0.5326,0.4674,0.1635,78206,0.8637,8265.8649,26930,0.2974,297.4179
