YEAR,total_ma_benes,avg_age,avg_er_visits_per_1000,avg_op_visits_per_1000
2016,36367170,72.46296296296296,330.7587833333334,3451.497053703704
2017,39148085,72.64814814814815,346.70767037037035,3644.1449555555555
2018,42121852,72.64814814814815,349.92862037037037,3884.6323111111114
2019,45279043,72.55555555555556,363.29274444444445,4177.388277777778
2020,49857057,72.48148148148148,303.8269814814815,3656.0185407407407
2021,54723449,72.35185185185185,326.2797,4215.328753703704
2022,59354311,72.31481481481481,340.89505185185186,4342.2563314814815
